id|username|email|tipousuarioId|temaId|operativo|createdAt|updatedAt
76|pacontreras_46|pacontreras_46@gmail.com|3|1|true|2023-09-24|2023-09-24
77|pbtorres_26|pbtorres_26@gmail.com|3|1|true|2023-09-24|2023-09-24
78|jfespinoza_88|jfespinoza_88@gmail.com|3|1|true|2023-09-24|2023-09-24
79|amcaceres_90|amcaceres_90@gmail.com|3|1|true|2023-09-24|2023-09-24
80|ajcarvajal_38|ajcarvajal_38@gmail.com|3|1|true|2023-09-24|2023-09-24
81|zftorres_38|zftorres_38@gmail.com|3|1|true|2023-09-24|2023-09-24
82|mrguzman_3|mrguzman_3@gmail.com|3|1|true|2023-09-24|2023-09-24
83|dmfarias_44|dmfarias_44@gmail.com|3|1|true|2023-09-24|2023-09-24
84|rrriquelme_89|rrriquelme_89@gmail.com|3|1|true|2023-09-24|2023-09-24
85|pearavena_49|pearavena_49@gmail.com|3|1|true|2023-09-24|2023-09-24
86|rarojas_9|rarojas_9@gmail.com|3|1|true|2023-09-24|2023-09-24
87|mrmolina_33|mrmolina_33@gmail.com|3|1|true|2023-09-24|2023-09-24
88|ecpoblete_45|ecpoblete_45@gmail.com|3|1|true|2023-09-24|2023-09-24
89|pscastro_44|pscastro_44@gmail.com|3|1|true|2023-09-24|2023-09-24
90|aareyes_88|aareyes_88@gmail.com|3|1|true|2023-09-24|2023-09-24
91|edvaldes_41|edvaldes_41@gmail.com|3|1|true|2023-09-24|2023-09-24
92|mbruiz_86|mbruiz_86@gmail.com|3|1|true|2023-09-24|2023-09-24
93|javera_72|javera_72@gmail.com|3|1|true|2023-09-24|2023-09-24
94|vctoro_96|vctoro_96@gmail.com|3|1|true|2023-09-24|2023-09-24
95|xlsepulveda_45|xlsepulveda_45@gmail.com|3|1|true|2023-09-24|2023-09-24
96|bcleiva_45|bcleiva_45@gmail.com|3|1|true|2023-09-24|2023-09-24
97|dvcarvajal_19|dvcarvajal_19@gmail.com|3|1|true|2023-09-24|2023-09-24
98|anriquelme_43|anriquelme_43@gmail.com|3|1|true|2023-09-24|2023-09-24
99|egmiranda_33|egmiranda_33@gmail.com|3|1|true|2023-09-24|2023-09-24
100|rjcastillo_98|rjcastillo_98@gmail.com|3|1|true|2023-09-24|2023-09-24
126|vmzuniga_44|vmzuniga_44@gmail.com|3|1|true|2023-09-24|2023-09-24
127|lsaguilera_31|lsaguilera_31@gmail.com|3|1|true|2023-09-24|2023-09-24
128|amnavarrete_31|amnavarrete_31@gmail.com|3|1|true|2023-09-24|2023-09-24
129|mlrodriguez_33|mlrodriguez_33@gmail.com|3|1|true|2023-09-24|2023-09-24
130|bscarrasco_50|bscarrasco_50@gmail.com|3|1|true|2023-09-24|2023-09-24
131|akespinoza_54|akespinoza_54@gmail.com|3|1|true|2023-09-24|2023-09-24
132|vafuentes_70|vafuentes_70@gmail.com|3|1|true|2023-09-24|2023-09-24
133|iaaraya_4|iaaraya_4@gmail.com|3|1|true|2023-09-24|2023-09-24
134|fpguzman_18|fpguzman_18@gmail.com|3|1|true|2023-09-24|2023-09-24
135|ífsalinas_53|ífsalinas_53@gmail.com|3|1|true|2023-09-24|2023-09-24
136|nczuniga_1|nczuniga_1@gmail.com|3|1|true|2023-09-24|2023-09-24
137|bfortega_58|bfortega_58@gmail.com|3|1|true|2023-09-24|2023-09-24
138|orgallardo_67|orgallardo_67@gmail.com|3|1|true|2023-09-24|2023-09-24
139|acgarcia_31|acgarcia_31@gmail.com|3|1|true|2023-09-24|2023-09-24
140|ecnavarrete_66|ecnavarrete_66@gmail.com|3|1|true|2023-09-24|2023-09-24
141|ídvargas_54|ídvargas_54@gmail.com|3|1|true|2023-09-24|2023-09-24
