fecha|tipoestadoId|matriculaId|alumnoId|createdAt|updatedAt
2022-03-02|1|1|1|2023-09-24|2023-09-24
2022-03-02|1|2|2|2023-09-24|2023-09-24
2022-03-02|1|3|3|2023-09-24|2023-09-24
2022-03-02|1|4|4|2023-09-24|2023-09-24
2022-03-02|1|5|5|2023-09-24|2023-09-24
2022-03-02|1|6|6|2023-09-24|2023-09-24
2022-03-02|1|7|7|2023-09-24|2023-09-24
2022-03-02|1|8|8|2023-09-24|2023-09-24
2022-03-02|1|9|9|2023-09-24|2023-09-24
2022-03-02|1|10|10|2023-09-24|2023-09-24
2022-03-02|1|11|11|2023-09-24|2023-09-24
2022-03-02|1|12|12|2023-09-24|2023-09-24
2022-03-02|1|13|13|2023-09-24|2023-09-24
